node,group
Mean_1,Sensory
Mean_3,Sensory
Mean_26,Sensory
Mean_54,Sensory
Mean_70,Sensory
Mean_81,Sensory
Mean_85,Sensory
Mean_89,Sensory
Mean_97,Sensory
Mean_102,Sensory
Mean_105,Sensory
Mean_131,Sensory
Mean_142,Sensory
Mean_147,Sensory
Mean_150,Sensory
Mean_159,Sensory
Mean_170,Sensory
Mean_175,Sensory
Mean_177,Sensory
Mean_179,Sensory
Mean_4,Limbic-Subcortical
Mean_15,Limbic-Subcortical
Mean_18,Limbic-Subcortical
Mean_30,Limbic-Subcortical
Mean_37,Limbic-Subcortical
Mean_41,Limbic-Subcortical
Mean_45,Limbic-Subcortical
Mean_47,Limbic-Subcortical
Mean_48,Limbic-Subcortical
Mean_52,Limbic-Subcortical
Mean_67,Limbic-Subcortical
Mean_84,Limbic-Subcortical
Mean_86,Limbic-Subcortical
Mean_92,Limbic-Subcortical
Mean_94,Limbic-Subcortical
Mean_118,Limbic-Subcortical
Mean_130,Limbic-Subcortical
Mean_135,Limbic-Subcortical
Mean_145,Limbic-Subcortical
Mean_148,Limbic-Subcortical
Mean_155,Limbic-Subcortical
Mean_162,Limbic-Subcortical
Mean_178,Limbic-Subcortical
Mean_194,Limbic-Subcortical
Mean_6,Limbic-Subcortical
Mean_7,Limbic-Subcortical
Mean_12,Limbic-Subcortical
Mean_20,Limbic-Subcortical
Mean_40,Limbic-Subcortical
Mean_59,Limbic-Subcortical
Mean_75,Limbic-Subcortical
Mean_115,Limbic-Subcortical
Mean_167,Limbic-Subcortical
Mean_168,Limbic-Subcortical
Mean_8,Sensory
Mean_21,Sensory
Mean_28,Sensory
Mean_60,Sensory
Mean_65,Sensory
Mean_90,Sensory
Mean_96,Sensory
Mean_111,Sensory
Mean_123,Sensory
Mean_134,Sensory
Mean_152,Sensory
Mean_171,Sensory
Mean_172,Sensory
Mean_190,Sensory
Mean_197,Sensory
Mean_9,Cognitive Control
Mean_10,Cognitive Control
Mean_17,Cognitive Control
Mean_23,Cognitive Control
Mean_36,Cognitive Control
Mean_38,Cognitive Control
Mean_39,Cognitive Control
Mean_56,Cognitive Control
Mean_73,Cognitive Control
Mean_80,Cognitive Control
Mean_93,Cognitive Control
Mean_113,Cognitive Control
Mean_127,Cognitive Control
Mean_132,Cognitive Control
Mean_149,Cognitive Control
Mean_151,Cognitive Control
Mean_164,Cognitive Control
Mean_165,Cognitive Control
Mean_169,Cognitive Control
Mean_183,Cognitive Control
Mean_192,Cognitive Control
Mean_13,Cognitive Control
Mean_55,Cognitive Control
Mean_79,Cognitive Control
Mean_83,Cognitive Control
Mean_119,Cognitive Control
Mean_121,Cognitive Control
Mean_137,Cognitive Control
Mean_161,Cognitive Control
Mean_180,Cognitive Control
Mean_182,Cognitive Control
Mean_184,Cognitive Control
Mean_196,Cognitive Control
Mean_14,Cognitive Control
Mean_33,Cognitive Control
Mean_69,Cognitive Control
Mean_103,Cognitive Control
Mean_107,Cognitive Control
Mean_117,Cognitive Control
Mean_138,Cognitive Control
Mean_141,Cognitive Control
Mean_144,Cognitive Control
Mean_173,Cognitive Control
Mean_176,Cognitive Control
Mean_189,Cognitive Control
Mean_16,Cognitive Control
Mean_31,Cognitive Control
Mean_50,Cognitive Control
Mean_64,Cognitive Control
Mean_114,Cognitive Control
Mean_143,Cognitive Control
Mean_156,Cognitive Control
Mean_163,Cognitive Control
Mean_188,Cognitive Control
Mean_19,Default Mode
Mean_22,Default Mode
Mean_32,Default Mode
Mean_43,Default Mode
Mean_51,Default Mode
Mean_53,Default Mode
Mean_58,Default Mode
Mean_61,Default Mode
Mean_62,Default Mode
Mean_72,Default Mode
Mean_74,Default Mode
Mean_76,Default Mode
Mean_77,Default Mode
Mean_78,Default Mode
Mean_91,Default Mode
Mean_99,Default Mode
Mean_101,Default Mode
Mean_104,Default Mode
Mean_106,Default Mode
Mean_109,Default Mode
Mean_120,Default Mode
Mean_122,Default Mode
Mean_125,Default Mode
Mean_129,Default Mode
Mean_133,Default Mode
Mean_139,Default Mode
Mean_140,Default Mode
Mean_153,Default Mode
Mean_160,Default Mode
Mean_166,Default Mode
Mean_174,Default Mode
Mean_181,Default Mode
Mean_186,Default Mode
Mean_187,Default Mode
Mean_193,Default Mode
Mean_24,Sensory
Mean_66,Sensory
Mean_98,Sensory
Mean_116,Sensory
Mean_128,Sensory
Mean_146,Sensory
Mean_157,Sensory
Mean_185,Sensory
Mean_200,Sensory
Mean_27,Uncertain
Mean_42,Uncertain
Mean_44,Uncertain
Mean_49,Uncertain
Mean_57,Uncertain
Mean_63,Uncertain
Mean_71,Uncertain
Mean_87,Uncertain
Mean_100,Uncertain
Mean_108,Uncertain
Mean_110,Uncertain
Mean_112,Uncertain
Mean_124,Uncertain
Mean_158,Uncertain
Mean_195,Uncertain
Mean_198,Uncertain
Mean_199,Uncertain
Mean_29,Uncertain
Mean_46,Uncertain
Mean_136,Uncertain
Mean_35,Sensory
Mean_88,Sensory
Mean_154,Sensory
